iter	Logloss
0	0.5056833794
1	0.389574994
2	0.3200869402
3	0.2842309225
4	0.2565911509
5	0.2425255108
6	0.2295495286
7	0.2226049569
8	0.2176008535
9	0.2124440598
10	0.2094689855
11	0.206926316
12	0.2037844277
13	0.2016553567
14	0.1995266064
15	0.1977441404
16	0.1962123791
17	0.194802433
18	0.1937650189
19	0.1927585116
20	0.1885398879
21	0.1877524707
22	0.1870565777
23	0.1861313727
24	0.1854518002
25	0.1847219988
26	0.1841040404
27	0.1835696835
28	0.1828725547
29	0.1821614442
30	0.179644617
31	0.1792862654
32	0.1788873083
33	0.1771002247
34	0.1767074906
35	0.1761468833
36	0.1758445178
37	0.1755685455
38	0.1752616125
39	0.1750346547
40	0.1739265992
41	0.1737724006
42	0.173470825
43	0.1732850939
44	0.1724850842
45	0.1722664623
46	0.1719005886
47	0.1717453278
48	0.1715321399
49	0.171346771
50	0.1710945565
51	0.1709352892
52	0.1708326743
53	0.1706265814
54	0.1704958882
55	0.1703350135
56	0.1701278031
57	0.1699745014
58	0.1697830156
59	0.169483871
60	0.1692651215
61	0.1690527104
62	0.1688686944
63	0.1686271585
64	0.1684552787
65	0.1679151379
66	0.1678267536
67	0.1675964338
68	0.167450946
69	0.1672406098
70	0.1671042675
71	0.1669631931
72	0.1666765195
73	0.1665490677
74	0.1663894152
75	0.1662718509
76	0.1661605348
77	0.1659911137
78	0.1659141808
79	0.1656918209
80	0.1655317306
81	0.1653591757
82	0.1651314078
83	0.1649923537
84	0.1648350047
85	0.164598154
86	0.1645108284
87	0.1643734845
88	0.1642327485
89	0.1640508032
90	0.1638146985
91	0.1636472029
92	0.1634521883
93	0.1632543877
94	0.1631081868
95	0.1629628366
96	0.162839439
97	0.1626830325
98	0.1625627189
99	0.1622338045
100	0.1620920472
101	0.1619906032
102	0.1617456837
103	0.1614672018
104	0.1614094217
105	0.1613276111
106	0.1611793686
107	0.161056209
108	0.1609995291
109	0.1608649722
110	0.160683122
111	0.1605724171
112	0.1604886113
113	0.1603672161
114	0.1602812853
115	0.1601320996
116	0.1599324303
117	0.1598012428
118	0.1596650395
119	0.1595420174
120	0.1594585532
121	0.159317468
122	0.1592166746
123	0.1590626846
124	0.1588563679
125	0.1587406663
126	0.1585764072
127	0.1584519542
128	0.1582019459
129	0.1581134197
130	0.1580068172
131	0.1578691632
132	0.157774729
133	0.157733491
134	0.1576135584
135	0.1574903291
136	0.1573253159
137	0.1572157139
138	0.1571691392
139	0.1569993866
140	0.1568785423
141	0.1567438837
142	0.156608926
143	0.1564859639
144	0.1563802407
145	0.1562495164
146	0.1561225894
147	0.1559866973
148	0.1558778949
149	0.1558036261
150	0.1556758686
151	0.1555560003
152	0.1554842761
153	0.155376136
154	0.1552464013
155	0.1550361492
156	0.1549563421
157	0.1547785695
158	0.1546002201
159	0.1544875523
160	0.154329736
161	0.1542402264
162	0.1541468875
163	0.1540214761
164	0.1539658443
165	0.1538469228
166	0.1537167963
167	0.1535942327
168	0.1534744338
169	0.1533905937
170	0.1533103643
171	0.1532125204
172	0.1531025466
173	0.1529964654
174	0.152846855
175	0.1527620492
176	0.1526551748
177	0.1524929864
178	0.1523863512
179	0.152243167
180	0.1521257815
181	0.1520385754
182	0.1519310048
183	0.151783489
184	0.151678659
185	0.1515755251
186	0.1514752765
187	0.1513444493
188	0.1512897226
189	0.1512181292
190	0.1511239869
191	0.151034896
192	0.1509385637
193	0.1508498113
194	0.1507656583
195	0.150695752
196	0.1506266027
197	0.1505465472
198	0.1504112279
199	0.1502922524
200	0.1502037415
201	0.1501015114
202	0.1499930145
203	0.1498675829
204	0.1497792164
205	0.1497028653
206	0.1496036027
207	0.1495084525
208	0.1494213843
209	0.1493558394
210	0.1492546676
211	0.1491590721
212	0.1490620668
213	0.1489875934
214	0.1489296271
215	0.1488597505
216	0.1487590708
217	0.1486461235
218	0.1485193882
219	0.1484283575
220	0.148260575
221	0.148110729
222	0.1480098621
223	0.1479064661
224	0.1478064853
225	0.1477534948
226	0.1476715969
227	0.1476106649
228	0.1475409414
229	0.1474214291
230	0.1473557801
231	0.1472372878
232	0.1471312572
233	0.1469733038
234	0.1468867805
235	0.1467666823
236	0.1465948813
237	0.1465218656
238	0.146397843
239	0.1462782905
240	0.1461962002
241	0.1460874559
242	0.1459803253
243	0.1458596918
244	0.1457625416
245	0.1456881452
246	0.1455777027
247	0.1455384484
248	0.1454582905
249	0.1453945781
250	0.1453204966
251	0.1452408592
252	0.1450972946
253	0.1449984176
254	0.144930643
255	0.1448516974
256	0.1447942698
257	0.1447172474
258	0.1446540393
259	0.144580994
260	0.1445139999
261	0.1444446083
262	0.144382445
263	0.1442776766
264	0.1441752621
265	0.1440975053
266	0.1440263679
267	0.1439682605
268	0.1438584927
269	0.1437868892
270	0.1436557662
271	0.1435990789
272	0.1434669747
273	0.1433647231
274	0.1432462964
275	0.143190142
276	0.143095144
277	0.1430179395
278	0.1429656085
279	0.1429215864
280	0.1427894712
281	0.1427414605
282	0.142662147
283	0.1426047862
284	0.1425458374
285	0.1424833655
286	0.1423939829
287	0.1422980313
288	0.1422170245
289	0.142124405
290	0.1420310668
291	0.1419343743
292	0.1418281559
293	0.141731664
294	0.141666244
295	0.1416186657
296	0.1415676695
297	0.1414228713
298	0.1413114152
299	0.141179692
300	0.1410985628
301	0.1409816474
302	0.1408887309
303	0.1407941673
304	0.1406541854
305	0.1405570303
306	0.1404883525
307	0.1404343228
308	0.1403091571
309	0.1402435579
310	0.1401641993
311	0.1401064523
312	0.1400135995
313	0.1399135155
314	0.1398712684
315	0.1397372874
316	0.1396973245
317	0.1396335015
318	0.1395513331
319	0.1394346948
320	0.1393755904
321	0.1392732921
322	0.1391695935
323	0.1390660012
324	0.1389801474
325	0.1389103696
326	0.1388143552
327	0.1387407744
328	0.1386695453
329	0.1385819122
330	0.1385185782
331	0.138419812
332	0.1382368551
333	0.138178386
334	0.1380880265
335	0.1380386786
336	0.1379609664
337	0.1378770559
338	0.1378280893
339	0.1377285905
340	0.1376169939
341	0.1375683778
342	0.1374921609
343	0.1374384876
344	0.1373826845
345	0.1372882063
346	0.1371844277
347	0.1370379575
348	0.1369275214
349	0.1368048397
350	0.1367128957
351	0.1366615184
352	0.1365724575
353	0.1365092023
354	0.1364090436
355	0.136333772
356	0.1362550465
357	0.1361865873
358	0.1360980464
359	0.1360463424
360	0.1359444078
361	0.1358497683
362	0.1357592048
363	0.1357205781
364	0.1356421104
365	0.1355941825
366	0.1355450514
367	0.135449117
368	0.1353444227
369	0.1352870349
370	0.1352273541
371	0.1351285752
372	0.135053258
373	0.1349835865
374	0.1349169217
375	0.1348370457
376	0.134790666
377	0.1347569942
378	0.1346784959
379	0.1346074859
380	0.1345600631
381	0.1344885557
382	0.1344347523
383	0.1343511492
384	0.1342795558
385	0.1342249415
386	0.1341508424
387	0.1340738446
388	0.1340053095
389	0.133957587
390	0.1338900749
391	0.1338596231
392	0.13375277
393	0.133667525
394	0.133604036
395	0.1335079594
396	0.1334635639
397	0.1333693487
398	0.1332944284
399	0.1332121793
400	0.1331249103
401	0.1330442445
402	0.1329875571
403	0.1329265928
404	0.1328632129
405	0.1327434947
406	0.1326528991
407	0.1325739423
408	0.1325387377
409	0.1324923314
410	0.1324427487
411	0.1323514159
412	0.1322277908
413	0.1321452027
414	0.1320816547
415	0.1320037603
416	0.131947673
417	0.1319105249
418	0.1318721535
419	0.1318214469
420	0.1317465472
421	0.1316163847
422	0.1315287701
423	0.1314595308
424	0.1313641855
425	0.1313085203
426	0.1312262139
427	0.1311079536
428	0.1310336308
429	0.1309841943
430	0.1308961539
431	0.1308261313
432	0.1307691382
433	0.1306800555
434	0.1306191843
435	0.1305495128
436	0.1305041267
437	0.1304054794
438	0.1303344456
439	0.1302423943
440	0.1301657776
441	0.1300454714
442	0.1299765467
443	0.1298699372
444	0.1298213666
445	0.1297656209
446	0.1296524404
447	0.1296000546
448	0.1295537768
449	0.1294707122
450	0.129381025
451	0.1292796904
452	0.1291605063
453	0.1291345853
454	0.1290579099
455	0.1289924616
456	0.1289040679
457	0.1288322519
458	0.1288022954
459	0.1287358961
460	0.1286851282
461	0.1286039756
462	0.1285557408
463	0.1284712824
464	0.1283980464
465	0.1283399025
466	0.1282807119
467	0.1282176628
468	0.1281700119
469	0.1281014628
470	0.1279935058
471	0.1279529293
472	0.1279176502
473	0.1278408827
474	0.1277438806
475	0.127666479
476	0.12758776
477	0.1275138644
478	0.1273883199
479	0.1272977296
480	0.1272409195
481	0.1271874601
482	0.1271337792
483	0.1270577261
484	0.1270237219
485	0.1269791743
486	0.1269348638
487	0.1268476728
488	0.126769828
489	0.1267036456
490	0.1266299083
491	0.1265837242
492	0.1265408351
493	0.1264628271
494	0.1263872836
495	0.1263454
496	0.1263001829
497	0.1262425566
498	0.1261807932
499	0.1260959833
500	0.1260391078
501	0.1259905804
502	0.1259422726
503	0.1258847609
504	0.1258095561
505	0.1257168873
506	0.1256747965
507	0.1256334296
508	0.1255820619
509	0.1255404418
510	0.1254866313
511	0.1254510639
512	0.1254164944
513	0.1253681274
514	0.1253236147
515	0.125217008
516	0.1251485365
517	0.1251083467
518	0.1250346912
519	0.1250111026
520	0.1249231341
521	0.1248432462
522	0.1247577534
523	0.1246927524
524	0.124656594
525	0.124612997
526	0.124589639
527	0.1245159238
528	0.1244335882
529	0.1243943434
530	0.1243025914
531	0.1242432539
532	0.1241669799
533	0.1241366342
534	0.1240761576
535	0.1239848781
536	0.1238691831
537	0.1237765887
538	0.1237097528
539	0.1236668756
540	0.1235889769
541	0.1234882134
542	0.1234550868
543	0.123409072
544	0.1233099534
545	0.1232676464
546	0.1231848762
547	0.1231344328
548	0.123095841
549	0.1230364236
550	0.1229951587
551	0.1229587534
552	0.1229054912
553	0.1228330313
554	0.122794565
555	0.1227132094
556	0.1226245881
557	0.1225408618
558	0.1224683047
559	0.1224236725
560	0.122377238
561	0.1222958622
562	0.1222531053
563	0.1221972394
564	0.1221211093
565	0.1220644352
566	0.1219993144
567	0.1219541572
568	0.1218623796
569	0.1218178736
570	0.1217654492
571	0.1216517617
572	0.121571711
573	0.1215254116
574	0.1214304226
575	0.1213639236
576	0.1213291589
577	0.1212982339
578	0.1212479909
579	0.121193428
580	0.1210904012
581	0.1210347023
582	0.1209868298
583	0.1209583205
584	0.120904834
585	0.1208415854
586	0.1207476175
587	0.1206976539
588	0.120636132
589	0.1205973541
590	0.1205382731
591	0.1204850492
592	0.1204071483
593	0.1203416833
594	0.1202561259
595	0.120226142
596	0.1201793982
597	0.120110029
598	0.1200615042
599	0.1200329649
600	0.1199957591
601	0.1199549693
602	0.1198907817
603	0.1198291347
604	0.119761105
605	0.1196776817
606	0.119635151
607	0.1195969227
608	0.1195208826
609	0.1194977249
610	0.1194265402
611	0.1193815845
612	0.1193223441
613	0.1192636467
614	0.1192044317
615	0.119156654
616	0.1190855581
617	0.1190295805
618	0.1189766968
619	0.118933323
620	0.1188802268
621	0.118810098
622	0.1186861024
623	0.1186308793
624	0.1185673191
625	0.1185284524
626	0.1184661014
627	0.1184151894
628	0.1183309755
629	0.1182418786
630	0.1181473635
631	0.1181014409
632	0.1180271723
633	0.1179370525
634	0.1178914502
635	0.1178400333
636	0.1177811223
637	0.1177036285
638	0.1176348425
639	0.1176166331
640	0.1175606533
641	0.1175161665
642	0.1174451019
643	0.1173925242
644	0.1173657463
645	0.1173394473
646	0.1173039244
647	0.1172555148
648	0.1171491109
649	0.1170598141
650	0.1169973855
651	0.1169458895
652	0.1168852123
653	0.1168067587
654	0.1167266726
655	0.1166803284
656	0.1166225952
657	0.116579571
658	0.1165504417
659	0.1165210468
660	0.1164849152
661	0.1164254014
662	0.1163702766
663	0.1163029946
664	0.1162605117
665	0.1162105589
666	0.1161472882
667	0.1160961047
668	0.1160555693
669	0.116025115
670	0.1159596782
671	0.1159084676
672	0.1158513661
673	0.1158020863
674	0.115759116
675	0.1156987521
676	0.1156677657
677	0.1156254221
678	0.115558363
679	0.1154996549
680	0.1154556465
681	0.1154118261
682	0.1153566316
683	0.1153051565
684	0.1152558003
685	0.1152189551
686	0.1151531239
687	0.1150892233
688	0.1150554323
689	0.1149922294
690	0.1149237036
691	0.1148550919
692	0.1147901318
693	0.1147358085
694	0.1146805704
695	0.1145993376
696	0.114555534
697	0.1145000917
698	0.1144528448
699	0.1144196635
700	0.1143980404
701	0.1143619274
702	0.1143143354
703	0.1142787747
704	0.1142297822
705	0.1141666526
706	0.1140903929
707	0.1140536789
708	0.113987658
709	0.1139355714
710	0.1138637892
711	0.1138139852
