iter	Passed	Remaining
197	32936	133410
198	33053	133043
199	33141	132567
200	33258	132207
201	33362	131800
202	33484	131462
203	33734	131630
204	33880	131389
205	34057	131270
206	34173	130915
207	34283	130541
208	34439	130344
209	34612	130210
210	34743	129918
211	34911	129764
212	35127	129791
213	35290	129619
214	35434	129376
215	35524	128940
216	35692	128788
217	35825	128513
218	35984	128329
219	36086	127941
220	36216	127658
221	36373	127472
222	36476	127096
223	36576	126711
224	36664	126288
225	36768	125924
226	36864	125535
227	36950	125114
228	37106	124928
229	37242	124682
230	37380	124438
231	37500	124140
232	37708	124130
233	38051	124562
234	38184	124302
235	38311	124025
236	38430	123723
237	38557	123448
238	38664	123112
239	38771	122775
240	38894	122493
241	38978	122090
242	39062	121686
243	39173	121373
244	39275	121032
245	39389	120730
246	39507	120442
247	39637	120191
248	39788	120004
249	39884	119653
250	39963	119255
251	40052	118887
252	40150	118547
253	40241	118188
254	40341	117861
255	40431	117503
256	40500	117087
257	40679	116991
258	40907	117036
259	41058	116858
260	41211	116687
261	41356	116493
262	41475	116225
263	41606	115994
264	41790	115910
265	41919	115672
266	42072	115501
267	42195	115251
268	42310	114978
269	42424	114704
270	42580	114544
271	42681	114234
272	42843	114093
273	43001	113939
274	43129	113706
275	43322	113643
276	43439	113382
277	43580	113185
278	43694	112917
279	43845	112744
280	44033	112670
281	44153	112418
282	44258	112131
283	44448	112059
284	44575	111828
285	44672	111524
286	44842	111404
287	44974	111187
288	45070	110883
289	45201	110666
290	45336	110459
291	45460	110226
292	45664	110187
293	45823	110037
294	45987	109903
295	46142	109743
296	46270	109522
297	46373	109241
298	46500	109019
299	46632	108809
300	46836	108767
301	46957	108530
302	47047	108225
303	47187	108035
304	47305	107795
305	47519	107774
306	47710	107698
307	47879	107573
308	48014	107372
309	48125	107118
310	48241	106876
311	48352	106624
312	48488	106427
313	48619	106219
314	48735	105981
315	48889	105823
316	49056	105694
317	49311	105756
318	49484	105639
319	49671	105551
320	49805	105351
321	49909	105089
322	50006	104811
323	50142	104619
324	50313	104496
325	50437	104278
326	50632	104207
327	50787	104053
328	50897	103806
329	51074	103697
330	51217	103518
331	51336	103291
332	51533	103221
333	51631	102953
334	51751	102729
335	51835	102435
336	51970	102244
337	52088	102019
338	52209	101800
339	52333	101588
340	52415	101294
341	52550	101105
342	52674	100894
343	52816	100719
344	52980	100585
345	53231	100617
346	53349	100395
347	53498	100232
348	53597	99977
349	53784	99885
350	53872	99610
351	53963	99341
352	54067	99098
353	54167	98847
354	54271	98606
355	54377	98368
356	54484	98133
357	54596	97908
358	54725	97712
359	54859	97528
360	54947	97261
361	55051	97025
362	55142	96765
363	55242	96522
364	55330	96259
365	55473	96094
366	55590	95881
367	55709	95675
368	55823	95460
369	55924	95223
370	56016	94971
371	56104	94714
372	56204	94477
373	56288	94215
374	56400	94000
375	56499	93764
376	56600	93533
377	56782	93435
378	56965	93338
379	57128	93209
380	57296	93087
381	57444	92933
382	57564	92733
383	57756	92651
384	57936	92547
385	58075	92379
386	58197	92183
387	58313	91978
388	58496	91880
389	58691	91800
390	58858	91674
391	59004	91517
392	59149	91358
393	59265	91153
394	59361	90921
395	59469	90705
396	59602	90529
397	59732	90349
398	59845	90142
399	59999	89999
400	60215	89947
401	60363	89794
402	60465	89572
403	60626	89438
404	60794	89315
405	60930	89145
406	61090	89009
407	61230	88843
408	61387	88703
409	61485	88479
410	61574	88241
411	61712	88075
412	61883	87955
413	62030	87801
414	62133	87586
415	62246	87384
416	62399	87239
417	62555	87099
418	62695	86935
419	62813	86742
420	62973	86607
421	63160	86508
422	63276	86313
423	63440	86183
424	63591	86035
425	63808	85976
426	63950	85816
427	64218	85824
428	64359	85662
429	64485	85480
430	64674	85381
431	64824	85231
432	65032	85157
433	65146	84960
434	65299	84813
435	65594	84851
436	65744	84699
437	65948	84618
438	66129	84507
439	66339	84432
440	66511	84308
441	66666	84163
442	66782	83968
443	66927	83810
444	67134	83729
445	67387	83705
446	67499	83505
447	67774	83507
448	68074	83538
449	68314	83495
450	68555	83451
451	68767	83372
452	69104	83444
453	69527	83617
454	69861	83679
455	70358	83935
456	70565	83844
457	70749	83725
458	70913	83582
459	71087	83450
460	71236	83289
461	71361	83101
462	71499	82927
463	71651	82769
464	71775	82580
465	71875	82364
466	72002	82178
467	72168	82038
468	72295	81852
469	72448	81697
470	72631	81575
471	72801	81438
472	72991	81324
473	73187	81216
474	73355	81077
475	73492	80903
476	73626	80726
477	73786	80579
478	73926	80408
479	74070	80243
480	74188	80049
481	74375	79930
482	74488	79731
483	74606	79538
484	74717	79338
485	74879	79193
486	74990	78994
487	75201	78899
488	75319	78707
489	75439	78518
490	75614	78386
491	75812	78277
492	75950	78106
493	76131	77980
494	76271	77812
495	76399	77631
496	76558	77483
497	76729	77346
498	76843	77151
499	76991	76991
500	77226	76918
501	77425	76808
502	77670	76744
503	77780	76545
504	77854	76312
505	78006	76156
506	78139	75981
507	78343	75876
508	78584	75805
509	78766	75677
510	78973	75573
511	79187	75475
512	79336	75315
513	79471	75141
514	79581	74945
515	79689	74747
516	79823	74574
517	79946	74390
518	80091	74227
519	80289	74113
520	80421	73938
521	80596	73802
522	80817	73709
523	81011	73590
524	81231	73495
525	81374	73329
526	81512	73160
527	81709	73043
528	81942	72957
529	82141	72842
530	82393	72772
531	82554	72623
532	82667	72430
533	82754	72216
534	82823	71986
535	82946	71804
536	83281	71805
537	83437	71650
538	83588	71491
539	83746	71339
540	83861	71150
541	84014	70993
542	84268	70921
543	84584	70901
544	84860	70847
545	85285	70914
546	85953	71182
547	86172	71076
548	86404	70980
549	87094	71259
550	87583	71369
551	87966	71392
552	88094	71208
553	88217	71019
554	88354	70842
555	88713	70843
556	88965	70757
557	89189	70647
558	89411	70537
559	89593	70394
560	89795	70267
561	89951	70104
562	90136	69964
563	90429	69906
564	90748	69868
565	90960	69747
566	91110	69578
567	91359	69484
568	91546	69343
569	91741	69208
570	91884	69034
571	92071	68892
572	92234	68732
573	92353	68541
574	92558	68413
575	92803	68313
576	92990	68171
577	93187	68036
578	93339	67868
579	93526	67725
580	93670	67552
581	93903	67442
582	94142	67336
583	94350	67208
584	94574	67091
585	94762	66948
586	95057	66880
587	95192	66699
588	95360	66541
589	95465	66340
590	95613	66168
591	95762	65998
592	95942	65849
593	96057	65655
594	96236	65505
595	96359	65317
596	96577	65193
597	96765	65049
598	96936	64894
599	97049	64699
600	97230	64550
601	97377	64379
602	97560	64231
603	97765	64097
604	97930	63938
605	98128	63799
606	98243	63607
607	98360	63416
608	98479	63227
609	98610	63045
610	98730	62858
611	98904	62704
612	99060	62538
613	99220	62376
614	99377	62212
615	99503	62028
616	99732	61908
617	99937	61773
618	100214	61682
619	100410	61542
620	100599	61396
621	100761	61234
622	100949	61088
623	101098	60918
624	101308	60785
625	101499	60640
626	101650	60471
627	101782	60291
628	101938	60125
629	102120	59975
630	102293	59819
631	102406	59628
632	102488	59420
633	102565	59209
634	102636	58995
635	102712	58785
636	102835	58601
637	103038	58463
638	103167	58283
639	103256	58081
640	103380	57899
641	103494	57711
642	103612	57526
643	103723	57338
644	103852	57159
645	103925	56949
646	104022	56754
647	104194	56599
648	104308	56413
649	104455	56245
650	104601	56076
651	104742	55905
652	104962	55776
653	105176	55643
654	105300	55463
655	105380	55260
656	105550	55104
657	105704	54940
658	105861	54778
659	105997	54604
660	106093	54411
661	106311	54279
662	106633	54201
663	106782	54034
664	106955	53879
665	107156	53739
666	107257	53548
667	107390	53373
668	107531	53203
669	107637	53015
670	107756	52834
671	107918	52674
672	108046	52498
673	108152	52311
674	108348	52167
675	108477	51992
676	108636	51831
677	108758	51652
678	108882	51474
679	109140	51360
680	109276	51188
681	109371	50997
682	109553	50847
683	109755	50705
684	109951	50561
685	110109	50400
686	110260	50235
687	110551	50133
688	110690	49963
689	110839	49797
690	110962	49620
691	111157	49474
692	111348	49327
693	111577	49196
694	111720	49028
695	111842	48850
696	111956	48669
697	112100	48501
698	112224	48325
699	112344	48147
700	112495	47982
701	112645	47817
702	112868	47684
703	113095	47551
704	113240	47384
705	113382	47215
706	113488	47032
707	113602	46853
708	113755	46689
709	113899	46522
710	113988	46332
711	114145	46171
712	114304	46010
713	114485	45858
714	114618	45687
715	114703	45496
716	114804	45313
717	114924	45137
718	115073	44973
719	115267	44826
720	115376	44646
721	115487	44467
722	115621	44297
723	115882	44176
724	116080	44030
725	116233	43867
726	116413	43715
727	116529	43538
728	116620	43352
729	116726	43172
730	116816	42987
731	116929	42810
732	117091	42651
733	117187	42468
734	117336	42305
735	117416	42116
736	117510	41933
737	117653	41768
738	117751	41587
739	117833	41400
740	117923	41217
741	118032	41040
742	118145	40865
743	118274	40696
744	118365	40514
745	118448	40329
746	118516	40140
747	118599	39955
748	118727	39787
749	118839	39613
750	118922	39429
751	119054	39262
752	119147	39083
753	119227	38899
754	119334	38724
755	119433	38547
756	119536	38371
757	119653	38200
758	119748	38022
759	119860	37850
760	120005	37689
761	120088	37508
762	120199	37336
763	120328	37169
764	120526	37024
765	120866	36922
766	121037	36768
767	121207	36614
768	121386	36463
769	121498	36291
770	121723	36153
771	121936	36012
772	122137	35866
773	122269	35701
774	122415	35540
775	122562	35378
776	122705	35216
777	123014	35101
778	123145	34935
779	123267	34767
780	123430	34611
781	123614	34460
782	123759	34298
783	123893	34133
784	124059	33978
785	124220	33820
786	124460	33684
787	124797	33574
788	125029	33436
789	125219	33286
790	125448	33146
791	125586	32982
792	125728	32819
793	125848	32650
794	125991	32488
795	126139	32327
796	126308	32171
797	126432	32004
798	126638	31857
799	126756	31689
800	126839	31512
801	126999	31353
802	127115	31185
803	127252	31021
804	127395	30859
805	127515	30692
806	127617	30520
807	127754	30357
808	127936	30204
809	128216	30075
810	128383	29919
811	128564	29766
812	128734	29610
813	128884	29450
814	129001	29282
815	129154	29123
816	129286	28958
817	129483	28809
818	129594	28640
819	129766	28485
820	129897	28321
821	130131	28179
822	130362	28036
823	130517	27877
824	130693	27722
825	130793	27552
826	130881	27379
827	131023	27217
828	131181	27059
829	131437	26920
830	131695	26782
831	131964	26646
832	132160	26495
833	132398	26352
834	132564	26195
835	132745	26040
836	132968	25894
837	133191	25748
838	133406	25599
839	133553	25438
840	133656	25269
841	133798	25107
842	133954	24947
843	134146	24794
844	134375	24648
845	134487	24481
846	134648	24322
847	134870	24174
848	135047	24018
849	135223	23862
850	135493	23723
851	135630	23560
852	135792	23401
853	136109	23269
854	136340	23122
855	136439	22952
856	136506	22777
857	136619	22610
858	136841	22461
859	137150	22326
860	137328	22170
861	137685	22042
862	138120	21926
863	138412	21787
864	138579	21627
865	138749	21469
866	139025	21326
867	139215	21171
868	139384	21011
869	139576	20856
870	139801	20705
871	140167	20575
872	140513	20441
873	140690	20282
874	140948	20135
875	141390	20014
876	141560	19854
877	141745	19695
878	141960	19541
879	142126	19380
880	142324	19224
881	142535	19069
882	142802	18921
883	143033	18769
884	143331	18625
885	143590	18475
886	144002	18345
887	144307	18200
888	144562	18049
889	144812	17898
890	145008	17739
891	145255	17587
892	145444	17427
893	145678	17272
894	145991	17127
895	146090	16956
896	146291	16798
897	146454	16635
898	146572	16467
899	146684	16298
900	146845	16135
901	147052	15976
902	147178	15809
903	147302	15642
904	147443	15477
905	147600	15313
906	147785	15153
907	147948	14990
908	148178	14834
909	148329	14669
910	148481	14505
911	148678	14346
912	148894	14188
913	149074	14026
914	149244	13864
915	149362	13696
916	149512	13532
917	149671	13369
918	149924	13214
919	150169	13058
920	150342	12895
921	150548	12736
922	150690	12571
923	150888	12410
924	151005	12243
925	151128	12077
926	151348	11918
927	151486	11753
928	151601	11586
929	151701	11418
930	151829	11252
931	151949	11086
932	152082	10921
933	152301	10762
934	152512	10602
935	152713	10441
936	152852	10277
937	152980	10111
938	153106	9946
939	153279	9783
940	153533	9626
941	153733	9465
942	154120	9315
943	154237	9149
944	154349	8983
945	154455	8816
946	154593	8652
947	154764	8489
948	154913	8325
949	155092	8162
950	155212	7997
951	155291	7829
952	155391	7663
953	155551	7500
954	155689	7336
955	155910	7175
956	156096	7013
957	156227	6849
958	156351	6684
959	156498	6520
960	156627	6356
961	156804	6193
962	156970	6031
963	157183	5869
964	157381	5708
965	157529	5544
966	157697	5381
967	157883	5219
968	158080	5057
969	158352	4897
970	158494	4733
971	158621	4569
972	158706	4403
973	158783	4238
974	158902	4074
975	159008	3910
976	159114	3745
977	159251	3582
978	159414	3419
979	159681	3258
980	159875	3096
981	160082	2934
982	160229	2771
983	160342	2607
984	160466	2443
985	160575	2279
986	160740	2117
987	160959	1954
988	161142	1792
989	161475	1631
990	161559	1467
991	161662	1303
992	161797	1140
993	161925	977
994	162053	814
995	162172	651
996	162304	488
997	162406	325
998	162528	162
999	162713	0
